Zip,CC,County,City,State
32003,12019,Clay County,FLEMING ISLAND,FL
32004,12109,St. Johns County,PONTE VEDRA BEACH,FL
32006,12019,Clay County,FLEMING ISLAND,FL
32007,12107,Putnam County,BOSTWICK,FL
32008,12121,Suwannee County,BRANFORD,FL
32008,12067,Lafayette County,BRANFORD,FL
32008,12029,Dixie County,BRANFORD,FL
32008,12041,Gilchrist County,BRANFORD,FL
32009,12089,Nassau County,BRYCEVILLE,FL
32011,12089,Nassau County,CALLAHAN,FL
32013,12067,Lafayette County,DAY,FL
32024,12121,Suwannee County,LAKE CITY,FL
32024,12023,Columbia County,LAKE CITY,FL
32025,12023,Columbia County,LAKE CITY,FL
32033,12109,St. Johns County,ELKTON,FL
32034,12089,Nassau County,FERNANDINA BEACH,FL
32035,12089,Nassau County,FERNANDINA BEACH,FL
32038,12023,Columbia County,FORT WHITE,FL
32038,12121,Suwannee County,FORT WHITE,FL
32040,12003,Baker County,GLEN SAINT MARY,FL
32041,12089,Nassau County,YULEE,FL
32042,12007,Bradford County,GRAHAM,FL
32043,12107,Putnam County,GREEN COVE SPRINGS,FL
32043,12019,Clay County,GREEN COVE SPRINGS,FL
32044,12001,Alachua County,HAMPTON,FL
32044,12007,Bradford County,HAMPTON,FL
32046,12089,Nassau County,HILLIARD,FL
32050,12019,Clay County,MIDDLEBURG,FL
32052,12047,Hamilton County,JASPER,FL
32053,12047,Hamilton County,JENNINGS,FL
32054,12125,Union County,LAKE BUTLER,FL
32054,12007,Bradford County,LAKE BUTLER,FL
32055,12023,Columbia County,LAKE CITY,FL
32055,12121,Suwannee County,LAKE CITY,FL
32056,12023,Columbia County,LAKE CITY,FL
32058,12007,Bradford County,LAWTEY,FL
32058,12125,Union County,LAWTEY,FL
32058,12019,Clay County,LAWTEY,FL
32059,12079,Madison County,LEE,FL
32060,12121,Suwannee County,LIVE OAK,FL
32061,12023,Columbia County,LULU,FL
32062,12121,Suwannee County,MC ALPIN,FL
32063,12003,Baker County,MACCLENNY,FL
32064,12121,Suwannee County,LIVE OAK,FL
32065,12019,Clay County,ORANGE PARK,FL
32066,12067,Lafayette County,MAYO,FL
32066,12079,Madison County,MAYO,FL
32067,12019,Clay County,ORANGE PARK,FL
32068,12019,Clay County,MIDDLEBURG,FL
32071,12121,Suwannee County,O BRIEN,FL
32073,12019,Clay County,ORANGE PARK,FL
32079,12019,Clay County,PENNEY FARMS,FL
32080,12109,St. Johns County,SAINT AUGUSTINE,FL
32080,12035,Flagler County,SAINT AUGUSTINE,FL
32081,12109,St. Johns County,PONTE VEDRA,FL
32081,12031,Duval County,PONTE VEDRA,FL
32082,12031,Duval County,PONTE VEDRA BEACH,FL
32082,12109,St. Johns County,PONTE VEDRA BEACH,FL
32083,12125,Union County,RAIFORD,FL
32083,12007,Bradford County,RAIFORD,FL
32084,12109,St. Johns County,SAINT AUGUSTINE,FL
32085,12109,St. Johns County,SAINT AUGUSTINE,FL
32086,12035,Flagler County,SAINT AUGUSTINE,FL
32086,12109,St. Johns County,SAINT AUGUSTINE,FL
32087,12003,Baker County,SANDERSON,FL
32091,12019,Clay County,STARKE,FL
32091,12007,Bradford County,STARKE,FL
32092,12109,St. Johns County,SAINT AUGUSTINE,FL
32094,12023,Columbia County,WELLBORN,FL
32094,12121,Suwannee County,WELLBORN,FL
32095,12109,St. Johns County,SAINT AUGUSTINE,FL
32096,12047,Hamilton County,WHITE SPRINGS,FL
32096,12023,Columbia County,WHITE SPRINGS,FL
32096,12121,Suwannee County,WHITE SPRINGS,FL
32097,12089,Nassau County,YULEE,FL
32099,12031,Duval County,JACKSONVILLE,FL
32102,12069,Lake County,ASTOR,FL
32102,12127,Volusia County,ASTOR,FL
32105,12127,Volusia County,BARBERVILLE,FL
32110,12035,Flagler County,BUNNELL,FL
32111,12083,Marion County,CANDLER,FL
32112,12127,Volusia County,CRESCENT CITY,FL
32112,12107,Putnam County,CRESCENT CITY,FL
32113,12083,Marion County,CITRA,FL
32114,12127,Volusia County,DAYTONA BEACH,FL
32115,12127,Volusia County,DAYTONA BEACH,FL
32117,12127,Volusia County,DAYTONA BEACH,FL
32118,12127,Volusia County,DAYTONA BEACH,FL
32119,12127,Volusia County,DAYTONA BEACH,FL
32120,12127,Volusia County,DAYTONA BEACH,FL
32121,12127,Volusia County,DAYTONA BEACH,FL
32122,12127,Volusia County,DAYTONA BEACH,FL
32124,12127,Volusia County,DAYTONA BEACH,FL
32125,12127,Volusia County,DAYTONA BEACH,FL
32126,12127,Volusia County,DAYTONA BEACH,FL
32127,12127,Volusia County,PORT ORANGE,FL
32128,12127,Volusia County,PORT ORANGE,FL
32129,12127,Volusia County,PORT ORANGE,FL
32130,12127,Volusia County,DE LEON SPRINGS,FL
32131,12107,Putnam County,EAST PALATKA,FL
32131,12109,St. Johns County,EAST PALATKA,FL
32132,12127,Volusia County,EDGEWATER,FL
32133,12083,Marion County,EASTLAKE WEIR,FL
32134,12069,Lake County,FORT MC COY,FL
32134,12083,Marion County,FORT MC COY,FL
32134,12107,Putnam County,FORT MC COY,FL
32135,12035,Flagler County,PALM COAST,FL
32136,12127,Volusia County,FLAGLER BEACH,FL
32136,12035,Flagler County,FLAGLER BEACH,FL
32137,12035,Flagler County,PALM COAST,FL
32138,12107,Putnam County,GRANDIN,FL
32139,12107,Putnam County,GEORGETOWN,FL
32140,12107,Putnam County,FLORAHOME,FL
32140,12019,Clay County,FLORAHOME,FL
32141,12127,Volusia County,EDGEWATER,FL
32143,12035,Flagler County,PALM COAST,FL
32145,12107,Putnam County,HASTINGS,FL
32145,12109,St. Johns County,HASTINGS,FL
32145,12035,Flagler County,HASTINGS,FL
32147,12107,Putnam County,HOLLISTER,FL
32148,12107,Putnam County,INTERLACHEN,FL
32158,12069,Lake County,LADY LAKE,FL
32159,12069,Lake County,LADY LAKE,FL
32159,12119,Sumter County,LADY LAKE,FL
32160,12019,Clay County,LAKE GENEVA,FL
32162,12069,Lake County,THE VILLAGES,FL
32162,12119,Sumter County,THE VILLAGES,FL
32162,12083,Marion County,THE VILLAGES,FL
32163,12119,Sumter County,THE VILLAGES,FL
32163,12069,Lake County,THE VILLAGES,FL
32164,12035,Flagler County,PALM COAST,FL
32168,12127,Volusia County,NEW SMYRNA BEACH,FL
32169,12127,Volusia County,NEW SMYRNA BEACH,FL
32170,12127,Volusia County,NEW SMYRNA BEACH,FL
32173,12127,Volusia County,ORMOND BEACH,FL
32174,12035,Flagler County,ORMOND BEACH,FL
32174,12127,Volusia County,ORMOND BEACH,FL
32175,12127,Volusia County,ORMOND BEACH,FL
32176,12127,Volusia County,ORMOND BEACH,FL
32177,12107,Putnam County,PALATKA,FL
32178,12107,Putnam County,PALATKA,FL
32179,12083,Marion County,OCKLAWAHA,FL
32180,12035,Flagler County,PIERSON,FL
32180,12127,Volusia County,PIERSON,FL
32181,12107,Putnam County,POMONA PARK,FL
32182,12083,Marion County,ORANGE SPRINGS,FL
32183,12083,Marion County,OCKLAWAHA,FL
32185,12107,Putnam County,PUTNAM HALL,FL
32187,12107,Putnam County,SAN MATEO,FL
32189,12107,Putnam County,SATSUMA,FL
32190,12127,Volusia County,SEVILLE,FL
32192,12083,Marion County,SPARR,FL
32193,12107,Putnam County,WELAKA,FL
32195,12069,Lake County,WEIRSDALE,FL
32195,12083,Marion County,WEIRSDALE,FL
32198,12127,Volusia County,DAYTONA BEACH,FL
32202,12031,Duval County,JACKSONVILLE,FL
32203,12031,Duval County,JACKSONVILLE,FL
32204,12031,Duval County,JACKSONVILLE,FL
32205,12031,Duval County,JACKSONVILLE,FL
32206,12031,Duval County,JACKSONVILLE,FL
32207,12031,Duval County,JACKSONVILLE,FL
32208,12031,Duval County,JACKSONVILLE,FL
32209,12031,Duval County,JACKSONVILLE,FL
32210,12031,Duval County,JACKSONVILLE,FL
32211,12031,Duval County,JACKSONVILLE,FL
32212,12031,Duval County,JACKSONVILLE,FL
32214,12031,Duval County,JACKSONVILLE,FL
32216,12031,Duval County,JACKSONVILLE,FL
32217,12031,Duval County,JACKSONVILLE,FL
32218,12031,Duval County,JACKSONVILLE,FL
32219,12031,Duval County,JACKSONVILLE,FL
32220,12031,Duval County,JACKSONVILLE,FL
32221,12031,Duval County,JACKSONVILLE,FL
32222,12031,Duval County,JACKSONVILLE,FL
32223,12031,Duval County,JACKSONVILLE,FL
32224,12031,Duval County,JACKSONVILLE,FL
32224,12109,St. Johns County,JACKSONVILLE,FL
32225,12031,Duval County,JACKSONVILLE,FL
32226,12031,Duval County,JACKSONVILLE,FL
32227,12031,Duval County,JACKSONVILLE,FL
32228,12031,Duval County,JACKSONVILLE,FL
32229,12031,Duval County,JACKSONVILLE,FL
32233,12031,Duval County,ATLANTIC BEACH,FL
32234,12031,Duval County,JACKSONVILLE,FL
32234,12089,Nassau County,JACKSONVILLE,FL
32234,12003,Baker County,JACKSONVILLE,FL
32234,12019,Clay County,JACKSONVILLE,FL
32235,12031,Duval County,JACKSONVILLE,FL
32236,12031,Duval County,JACKSONVILLE,FL
32238,12031,Duval County,JACKSONVILLE,FL
32239,12031,Duval County,JACKSONVILLE,FL
32240,12031,Duval County,JACKSONVILLE BEACH,FL
32241,12031,Duval County,JACKSONVILLE,FL
32244,12031,Duval County,JACKSONVILLE,FL
32245,12031,Duval County,JACKSONVILLE,FL
32246,12031,Duval County,JACKSONVILLE,FL
32247,12031,Duval County,JACKSONVILLE,FL
32250,12031,Duval County,JACKSONVILLE BEACH,FL
32250,12109,St. Johns County,JACKSONVILLE BEACH,FL
32254,12031,Duval County,JACKSONVILLE,FL
32255,12031,Duval County,JACKSONVILLE,FL
32256,12031,Duval County,JACKSONVILLE,FL
32257,12031,Duval County,JACKSONVILLE,FL
32258,12031,Duval County,JACKSONVILLE,FL
32259,12109,St. Johns County,SAINT JOHNS,FL
32259,12031,Duval County,SAINT JOHNS,FL
32260,12109,St. Johns County,JACKSONVILLE,FL
32266,12031,Duval County,NEPTUNE BEACH,FL
32277,12031,Duval County,JACKSONVILLE,FL
32301,12073,Leon County,TALLAHASSEE,FL
32302,12073,Leon County,TALLAHASSEE,FL
32303,12073,Leon County,TALLAHASSEE,FL
32304,12073,Leon County,TALLAHASSEE,FL
32305,12073,Leon County,TALLAHASSEE,FL
32306,12073,Leon County,TALLAHASSEE,FL
32307,12073,Leon County,TALLAHASSEE,FL
32308,12073,Leon County,TALLAHASSEE,FL
32309,12065,Jefferson County,TALLAHASSEE,FL
32309,12073,Leon County,TALLAHASSEE,FL
32310,12073,Leon County,TALLAHASSEE,FL
32311,12073,Leon County,TALLAHASSEE,FL
32312,12073,Leon County,TALLAHASSEE,FL
32313,12073,Leon County,TALLAHASSEE,FL
32314,12073,Leon County,TALLAHASSEE,FL
32315,12073,Leon County,TALLAHASSEE,FL
32316,12073,Leon County,TALLAHASSEE,FL
32317,12073,Leon County,TALLAHASSEE,FL
32318,12073,Leon County,TALLAHASSEE,FL
32320,12037,Franklin County,APALACHICOLA,FL
32321,12077,Liberty County,BRISTOL,FL
32321,12037,Franklin County,BRISTOL,FL
32322,12037,Franklin County,CARRABELLE,FL
32324,12039,Gadsden County,CHATTAHOOCHEE,FL
32326,12129,Wakulla County,CRAWFORDVILLE,FL
32327,12129,Wakulla County,CRAWFORDVILLE,FL
32327,12073,Leon County,CRAWFORDVILLE,FL
32328,12037,Franklin County,EASTPOINT,FL
32328,12077,Liberty County,EASTPOINT,FL
32330,12039,Gadsden County,GREENSBORO,FL
32331,12065,Jefferson County,GREENVILLE,FL
32331,12079,Madison County,GREENVILLE,FL
32331,12123,Taylor County,GREENVILLE,FL
32332,12039,Gadsden County,GRETNA,FL
32333,12039,Gadsden County,HAVANA,FL
32334,12077,Liberty County,HOSFORD,FL
32336,12123,Taylor County,LAMONT,FL
32336,12079,Madison County,LAMONT,FL
32336,12065,Jefferson County,LAMONT,FL
32337,12065,Jefferson County,LLOYD,FL
32340,12079,Madison County,MADISON,FL
32343,12039,Gadsden County,MIDWAY,FL
32344,12065,Jefferson County,MONTICELLO,FL
32344,12073,Leon County,MONTICELLO,FL
32345,12065,Jefferson County,MONTICELLO,FL
32346,12129,Wakulla County,PANACEA,FL
32346,12037,Franklin County,PANACEA,FL
32347,12123,Taylor County,PERRY,FL
32348,12123,Taylor County,PERRY,FL
32350,12079,Madison County,PINETTA,FL
32351,12039,Gadsden County,QUINCY,FL
32351,12077,Liberty County,QUINCY,FL
32352,12039,Gadsden County,QUINCY,FL
32355,12129,Wakulla County,SAINT MARKS,FL
32356,12123,Taylor County,SALEM,FL
32357,12123,Taylor County,SHADY GROVE,FL
32358,12129,Wakulla County,SOPCHOPPY,FL
32358,12037,Franklin County,SOPCHOPPY,FL
32359,12123,Taylor County,STEINHATCHEE,FL
32359,12029,Dixie County,STEINHATCHEE,FL
32360,12077,Liberty County,TELOGIA,FL
32361,12065,Jefferson County,WACISSA,FL
32362,12073,Leon County,WOODVILLE,FL
32399,12073,Leon County,TALLAHASSEE,FL
32401,12005,Bay County,PANAMA CITY,FL
32402,12005,Bay County,PANAMA CITY,FL
32403,12005,Bay County,PANAMA CITY,FL
32404,12005,Bay County,PANAMA CITY,FL
32405,12005,Bay County,PANAMA CITY,FL
32406,12005,Bay County,PANAMA CITY,FL
32407,12005,Bay County,PANAMA CITY BEACH,FL
32408,12005,Bay County,PANAMA CITY,FL
32409,12005,Bay County,PANAMA CITY,FL
32410,12005,Bay County,MEXICO BEACH,FL
32411,12005,Bay County,PANAMA CITY,FL
32413,12005,Bay County,PANAMA CITY BEACH,FL
32417,12005,Bay County,PANAMA CITY,FL
32420,12063,Jackson County,ALFORD,FL
32420,12013,Calhoun County,ALFORD,FL
32420,12133,Washington County,ALFORD,FL
32421,12013,Calhoun County,ALTHA,FL
32422,12131,Walton County,ARGYLE,FL
32423,12063,Jackson County,BASCOM,FL
32424,12013,Calhoun County,BLOUNTSTOWN,FL
32425,12059,Holmes County,BONIFAY,FL
32425,12133,Washington County,BONIFAY,FL
32426,12063,Jackson County,CAMPBELLTON,FL
32427,12133,Washington County,CARYVILLE,FL
32428,12005,Bay County,CHIPLEY,FL
32428,12063,Jackson County,CHIPLEY,FL
32428,12133,Washington County,CHIPLEY,FL
32430,12013,Calhoun County,CLARKSVILLE,FL
32431,12133,Washington County,COTTONDALE,FL
32431,12063,Jackson County,COTTONDALE,FL
32432,12063,Jackson County,CYPRESS,FL
32433,12059,Holmes County,DEFUNIAK SPRINGS,FL
32433,12131,Walton County,DEFUNIAK SPRINGS,FL
32433,12091,Okaloosa County,DEFUNIAK SPRINGS,FL
32435,12131,Walton County,DEFUNIAK SPRINGS,FL
32437,12133,Washington County,EBRO,FL
32437,12005,Bay County,EBRO,FL
32438,12013,Calhoun County,FOUNTAIN,FL
32438,12005,Bay County,FOUNTAIN,FL
32438,12063,Jackson County,FOUNTAIN,FL
32438,12133,Washington County,FOUNTAIN,FL
32439,12131,Walton County,FREEPORT,FL
32440,12059,Holmes County,GRACEVILLE,FL
32440,12063,Jackson County,GRACEVILLE,FL
32442,12013,Calhoun County,GRAND RIDGE,FL
32442,12063,Jackson County,GRAND RIDGE,FL
32443,12063,Jackson County,GREENWOOD,FL
32444,12005,Bay County,LYNN HAVEN,FL
32445,12063,Jackson County,MALONE,FL
32446,12063,Jackson County,MARIANNA,FL
32447,12063,Jackson County,MARIANNA,FL
32448,12013,Calhoun County,MARIANNA,FL
32448,12063,Jackson County,MARIANNA,FL
32449,12013,Calhoun County,WEWAHITCHKA,FL
32455,12059,Holmes County,PONCE DE LEON,FL
32455,12131,Walton County,PONCE DE LEON,FL
32456,12005,Bay County,PORT SAINT JOE,FL
32456,12045,Gulf County,PORT SAINT JOE,FL
32459,12131,Walton County,SANTA ROSA BEACH,FL
32460,12063,Jackson County,SNEADS,FL
32461,12131,Walton County,INLET BEACH,FL
32462,12005,Bay County,VERNON,FL
32462,12131,Walton County,VERNON,FL
32462,12133,Washington County,VERNON,FL
32463,12133,Washington County,WAUSAU,FL
32464,12131,Walton County,WESTVILLE,FL
32464,12059,Holmes County,WESTVILLE,FL
32465,12005,Bay County,WEWAHITCHKA,FL
32465,12013,Calhoun County,WEWAHITCHKA,FL
32465,12045,Gulf County,WEWAHITCHKA,FL
32466,12013,Calhoun County,YOUNGSTOWN,FL
32466,12005,Bay County,YOUNGSTOWN,FL
32466,12133,Washington County,YOUNGSTOWN,FL
32501,12033,Escambia County,PENSACOLA,FL
32502,12033,Escambia County,PENSACOLA,FL
32503,12033,Escambia County,PENSACOLA,FL
32504,12033,Escambia County,PENSACOLA,FL
32505,12033,Escambia County,PENSACOLA,FL
32506,12033,Escambia County,PENSACOLA,FL
32507,12033,Escambia County,PENSACOLA,FL
32508,12033,Escambia County,PENSACOLA,FL
32509,12033,Escambia County,PENSACOLA,FL
32511,12033,Escambia County,PENSACOLA,FL
32512,12033,Escambia County,PENSACOLA,FL
32513,12033,Escambia County,PENSACOLA,FL
32514,12033,Escambia County,PENSACOLA,FL
32516,12033,Escambia County,PENSACOLA,FL
32520,12033,Escambia County,PENSACOLA,FL
32522,12033,Escambia County,PENSACOLA,FL
32523,12033,Escambia County,PENSACOLA,FL
32524,12033,Escambia County,PENSACOLA,FL
32526,12033,Escambia County,PENSACOLA,FL
32530,12113,Santa Rosa County,BAGDAD,FL
32531,12113,Santa Rosa County,BAKER,FL
32531,12091,Okaloosa County,BAKER,FL
32533,12033,Escambia County,CANTONMENT,FL
32534,12033,Escambia County,PENSACOLA,FL
32535,12033,Escambia County,CENTURY,FL
32536,12091,Okaloosa County,CRESTVIEW,FL
32538,12131,Walton County,PAXTON,FL
32539,12091,Okaloosa County,CRESTVIEW,FL
32539,12131,Walton County,CRESTVIEW,FL
32540,12091,Okaloosa County,DESTIN,FL
32541,12091,Okaloosa County,DESTIN,FL
32542,12091,Okaloosa County,EGLIN AFB,FL
32544,12091,Okaloosa County,HURLBURT FIELD,FL
32547,12091,Okaloosa County,FORT WALTON BEACH,FL
32548,12091,Okaloosa County,FORT WALTON BEACH,FL
32549,12091,Okaloosa County,FORT WALTON BEACH,FL
32550,12131,Walton County,MIRAMAR BEACH,FL
32559,12033,Escambia County,PENSACOLA,FL
32560,12033,Escambia County,GONZALEZ,FL
32561,12113,Santa Rosa County,GULF BREEZE,FL
32561,12033,Escambia County,GULF BREEZE,FL
32562,12113,Santa Rosa County,GULF BREEZE,FL
32563,12113,Santa Rosa County,GULF BREEZE,FL
32564,12091,Okaloosa County,HOLT,FL
32564,12113,Santa Rosa County,HOLT,FL
32565,12113,Santa Rosa County,JAY,FL
32566,12113,Santa Rosa County,NAVARRE,FL
32567,12091,Okaloosa County,LAUREL HILL,FL
32567,12131,Walton County,LAUREL HILL,FL
32568,12033,Escambia County,MC DAVID,FL
32569,12113,Santa Rosa County,MARY ESTHER,FL
32569,12091,Okaloosa County,MARY ESTHER,FL
32570,12113,Santa Rosa County,MILTON,FL
32571,12113,Santa Rosa County,MILTON,FL
32572,12113,Santa Rosa County,MILTON,FL
32577,12033,Escambia County,MOLINO,FL
32578,12091,Okaloosa County,NICEVILLE,FL
32578,12131,Walton County,NICEVILLE,FL
32579,12091,Okaloosa County,SHALIMAR,FL
32580,12091,Okaloosa County,VALPARAISO,FL
32583,12113,Santa Rosa County,MILTON,FL
32588,12091,Okaloosa County,NICEVILLE,FL
32591,12033,Escambia County,PENSACOLA,FL
32601,12001,Alachua County,GAINESVILLE,FL
32603,12001,Alachua County,GAINESVILLE,FL
32604,12001,Alachua County,GAINESVILLE,FL
32605,12001,Alachua County,GAINESVILLE,FL
32606,12001,Alachua County,GAINESVILLE,FL
32607,12001,Alachua County,GAINESVILLE,FL
32608,12001,Alachua County,GAINESVILLE,FL
32609,12001,Alachua County,GAINESVILLE,FL
32609,12007,Bradford County,GAINESVILLE,FL
32610,12001,Alachua County,GAINESVILLE,FL
32611,12001,Alachua County,GAINESVILLE,FL
32612,12001,Alachua County,GAINESVILLE,FL
32614,12001,Alachua County,GAINESVILLE,FL
32615,12001,Alachua County,ALACHUA,FL
32616,12001,Alachua County,ALACHUA,FL
32617,12083,Marion County,ANTHONY,FL
32618,12075,Levy County,ARCHER,FL
32618,12001,Alachua County,ARCHER,FL
32619,12041,Gilchrist County,BELL,FL
32621,12075,Levy County,BRONSON,FL
32622,12007,Bradford County,BROOKER,FL
32622,12001,Alachua County,BROOKER,FL
32625,12075,Levy County,CEDAR KEY,FL
32626,12075,Levy County,CHIEFLAND,FL
32627,12001,Alachua County,GAINESVILLE,FL
32628,12029,Dixie County,CROSS CITY,FL
32631,12001,Alachua County,EARLETON,FL
32633,12001,Alachua County,EVINSTON,FL
32634,12083,Marion County,FAIRFIELD,FL
32635,12001,Alachua County,GAINESVILLE,FL
32639,12075,Levy County,GULF HAMMOCK,FL
32640,12107,Putnam County,HAWTHORNE,FL
32640,12001,Alachua County,HAWTHORNE,FL
32641,12001,Alachua County,GAINESVILLE,FL
32643,12001,Alachua County,HIGH SPRINGS,FL
32643,12041,Gilchrist County,HIGH SPRINGS,FL
32643,12023,Columbia County,HIGH SPRINGS,FL
32644,12075,Levy County,CHIEFLAND,FL
32648,12029,Dixie County,HORSESHOE BEACH,FL
32653,12001,Alachua County,GAINESVILLE,FL
32654,12001,Alachua County,ISLAND GROVE,FL
32655,12001,Alachua County,HIGH SPRINGS,FL
32656,12107,Putnam County,KEYSTONE HEIGHTS,FL
32656,12019,Clay County,KEYSTONE HEIGHTS,FL
32656,12007,Bradford County,KEYSTONE HEIGHTS,FL
32658,12001,Alachua County,LA CROSSE,FL
32662,12001,Alachua County,LOCHLOOSA,FL
32663,12083,Marion County,LOWELL,FL
32664,12083,Marion County,MC INTOSH,FL
32666,12019,Clay County,MELROSE,FL
32666,12001,Alachua County,MELROSE,FL
32666,12007,Bradford County,MELROSE,FL
32666,12107,Putnam County,MELROSE,FL
32667,12083,Marion County,MICANOPY,FL
32667,12001,Alachua County,MICANOPY,FL
32668,12083,Marion County,MORRISTON,FL
32668,12075,Levy County,MORRISTON,FL
32669,12041,Gilchrist County,NEWBERRY,FL
32669,12075,Levy County,NEWBERRY,FL
32669,12001,Alachua County,NEWBERRY,FL
32680,12029,Dixie County,OLD TOWN,FL
32681,12083,Marion County,ORANGE LAKE,FL
32683,12075,Levy County,OTTER CREEK,FL
32686,12083,Marion County,REDDICK,FL
32692,12029,Dixie County,SUWANNEE,FL
32693,12041,Gilchrist County,TRENTON,FL
32693,12075,Levy County,TRENTON,FL
32694,12001,Alachua County,WALDO,FL
32696,12083,Marion County,WILLISTON,FL
32696,12001,Alachua County,WILLISTON,FL
32696,12075,Levy County,WILLISTON,FL
32697,12125,Union County,WORTHINGTON SPRINGS,FL
32701,12117,Seminole County,ALTAMONTE SPRINGS,FL
32702,12083,Marion County,ALTOONA,FL
32702,12069,Lake County,ALTOONA,FL
32703,12095,Orange County,APOPKA,FL
32703,12117,Seminole County,APOPKA,FL
32704,12095,Orange County,APOPKA,FL
32706,12127,Volusia County,CASSADAGA,FL
32707,12117,Seminole County,CASSELBERRY,FL
32708,12117,Seminole County,WINTER SPRINGS,FL
32709,12095,Orange County,CHRISTMAS,FL
32710,12095,Orange County,CLARCONA,FL
32712,12095,Orange County,APOPKA,FL
32712,12117,Seminole County,APOPKA,FL
32713,12127,Volusia County,DEBARY,FL
32714,12095,Orange County,ALTAMONTE SPRINGS,FL
32714,12117,Seminole County,ALTAMONTE SPRINGS,FL
32715,12117,Seminole County,ALTAMONTE SPRINGS,FL
32716,12117,Seminole County,ALTAMONTE SPRINGS,FL
32718,12117,Seminole County,CASSELBERRY,FL
32719,12117,Seminole County,WINTER SPRINGS,FL
32720,12069,Lake County,DELAND,FL
32720,12127,Volusia County,DELAND,FL
32721,12127,Volusia County,DELAND,FL
32723,12127,Volusia County,DELAND,FL
32724,12127,Volusia County,DELAND,FL
32725,12127,Volusia County,DELTONA,FL
32726,12069,Lake County,EUSTIS,FL
32727,12069,Lake County,EUSTIS,FL
32728,12127,Volusia County,DELTONA,FL
32730,12117,Seminole County,CASSELBERRY,FL
32732,12127,Volusia County,GENEVA,FL
32732,12117,Seminole County,GENEVA,FL
32733,12095,Orange County,GOLDENROD,FL
32735,12069,Lake County,GRAND ISLAND,FL
32736,12069,Lake County,EUSTIS,FL
32738,12127,Volusia County,DELTONA,FL
32739,12127,Volusia County,DELTONA,FL
32744,12127,Volusia County,LAKE HELEN,FL
32746,12117,Seminole County,LAKE MARY,FL
32747,12117,Seminole County,LAKE MONROE,FL
32750,12117,Seminole County,LONGWOOD,FL
32751,12095,Orange County,MAITLAND,FL
32751,12117,Seminole County,MAITLAND,FL
32752,12117,Seminole County,LONGWOOD,FL
32753,12127,Volusia County,DEBARY,FL
32754,12009,Brevard County,MIMS,FL
32754,12127,Volusia County,MIMS,FL
32756,12069,Lake County,MOUNT DORA,FL
32757,12069,Lake County,MOUNT DORA,FL
32757,12095,Orange County,MOUNT DORA,FL
32759,12127,Volusia County,OAK HILL,FL
32762,12117,Seminole County,OVIEDO,FL
32763,12127,Volusia County,ORANGE CITY,FL
